t|posX|posY|posZ|vel|velX|velY|velZ
0.000000|99.999333|8.169455|-0.000000|8.169455|-0.000667|8.169455|-0.000000
1.000000|99.998004|16.338857|-0.000000|8.169401|-0.001328|8.169401|-0.000000
2.000000|99.996035|24.508153|-0.000000|8.169297|-0.001970|8.169296|-0.000000
3.000000|99.993453|32.677300|-0.000000|8.169147|-0.002581|8.169147|-0.000000
4.000000|99.990299|40.846259|-0.000000|8.168960|-0.003155|8.168959|-0.000000
5.000000|99.986615|49.015002|-0.000000|8.168744|-0.003684|8.168743|-0.000000
6.000000|99.982447|57.183508|-0.000000|8.168507|-0.004167|8.168506|-0.000000
7.000000|99.977843|65.351764|-0.000000|8.168258|-0.004604|8.168256|-0.000000
8.000000|99.972848|73.519765|-0.000000|8.168002|-0.004996|8.168000|-0.000000
9.000000|99.967503|81.687508|-0.000000|8.167745|-0.005345|8.167744|-0.000000
10.000000|99.961848|89.854998|-0.000000|8.167492|-0.005655|8.167490|-0.000000
11.000000|99.955918|98.022242|-0.000000|8.167245|-0.005930|8.167243|-0.000000
12.000000|99.949745|106.189246|-0.000000|8.167007|-0.006173|8.167005|-0.000000
13.000000|99.943358|114.356023|-0.000000|8.166779|-0.006388|8.166776|-0.000000
14.000000|99.936779|122.522581|-0.000000|8.166561|-0.006578|8.166558|-0.000000
15.000000|99.930032|130.688932|-0.000000|8.166354|-0.006747|8.166352|-0.000000
16.000000|99.923136|138.855088|-0.000000|8.166159|-0.006897|8.166156|-0.000000
17.000000|99.916106|147.021059|-0.000000|8.165974|-0.007030|8.165971|-0.000000
18.000000|99.908957|155.186854|-0.000000|8.165799|-0.007149|8.165796|-0.000000
19.000000|99.901702|163.352486|-0.000000|8.165634|-0.007255|8.165631|-0.000000
20.000000|99.894352|171.517961|-0.000000|8.165479|-0.007350|8.165476|-0.000000
21.000000|99.886917|179.683291|-0.000000|8.165333|-0.007435|8.165329|-0.000000
22.000000|99.879406|187.848482|-0.000000|8.165195|-0.007512|8.165191|-0.000000
23.000000|99.871825|196.013543|-0.000000|8.165065|-0.007581|8.165061|-0.000000
24.000000|99.864181|204.178482|-0.000000|8.164942|-0.007644|8.164938|-0.000000
25.000000|99.856481|212.343304|-0.000000|8.164826|-0.007700|8.164822|-0.000000
26.000000|99.848729|220.508017|-0.000000|8.164716|-0.007752|8.164713|-0.000000
27.000000|99.840930|228.672626|-0.000000|8.164613|-0.007799|8.164609|-0.000000
28.000000|99.833088|236.837136|-0.000000|8.164514|-0.007842|8.164511|-0.000000
29.000000|99.825207|245.001554|-0.000000|8.164421|-0.007881|8.164418|-0.000000
30.000000|99.817290|253.165883|-0.000000|8.164333|-0.007917|8.164329|-0.000000
31.000000|99.809340|261.330128|-0.000000|8.164249|-0.007950|8.164245|-0.000000
32.000000|99.801360|269.494294|-0.000000|8.164170|-0.007980|8.164166|-0.000000
33.000000|99.793351|277.658384|-0.000000|8.164094|-0.008009|8.164090|-0.000000
34.000000|99.785317|285.822402|-0.000000|8.164022|-0.008034|8.164018|-0.000000
35.000000|99.777258|293.986351|-0.000000|8.163953|-0.008058|8.163949|-0.000000
36.000000|99.769178|302.150234|-0.000000|8.163887|-0.008081|8.163883|-0.000000
37.000000|99.761076|310.314055|-0.000000|8.163825|-0.008101|8.163821|-0.000000
