t|posX|posY|posZ|vel|velX|velY|velZ
0|100|0|0|8.169459|0|5.77668|5.77668
1|99.3326|5.77668|5.77668|8.196675|-0.6674|5.77668|5.77668
2|97.995607|11.51442|11.592301|8.278324|-1.336993|5.73774|5.815621
3|95.991638|17.17379|17.486824|8.413666|-2.003969|5.659371|5.894523
4|93.328835|22.71529|23.501369|8.600784|-2.662803|5.541499|6.014545
5|90.02188|28.100009|29.678122|8.836483|-3.306955|5.384719|6.176753
6|86.093194|33.290657|36.059851|9.116132|-3.928685|5.190648|6.381729
7|81.57411|38.253009|42.688871|9.433503|-4.519084|4.962352|6.62902
8|76.505664|42.957745|49.605391|9.780692|-5.068446|4.704737|6.91652
9|70.938577|47.382496|56.845235|10.148212|-5.567087|4.424751|7.239844
10|64.932011|51.513702|64.437255|10.52542|-6.006566|4.131207|7.59202
11|58.550951|55.347805|72.400939|10.901309|-6.38106|3.834102|7.963684
12|51.862443|58.891279|80.744813|11.265548|-6.688507|3.543474|8.343874
13|44.931461|62.159416|89.466223|11.609575|-6.930982|3.268138|8.721411
14|37.81724|65.174056|98.552514|11.927316|-7.114221|3.014639|9.086291
15|30.570834|67.960888|107.983306|12.215428|-7.246406|2.786833|9.430792
16|23.234088|70.546891|117.733205|12.473002|-7.336746|2.586002|9.749899
17|15.83986|72.958356|127.774401|12.701|-7.394228|2.411465|10.041196
18|8.413015|75.219587|138.078726|12.901562|-7.426845|2.261231|10.304325
19|0.971789|77.352242|148.619092|13.077437|-7.441226|2.132655|10.540366
20|-6.470816|79.375137|159.370346|13.231551|-7.442605|2.022895|10.751255
21|-13.905784|81.304357|170.309689|13.366745|-7.434968|1.92922|10.939343
22|-21.327057|83.153503|181.416773|13.48562|-7.421273|1.849146|11.107084
23|-28.730725|84.934005|192.673621|13.590478|-7.403667|1.780502|11.256848
24|-36.114414|86.655447|204.06445|13.683319|-7.383689|1.721442|11.390829
25|-43.476836|88.32586|215.575448|13.76585|-7.362422|1.670414|11.510998
26|-50.817459|89.951988|227.194538|13.83952|-7.340623|1.626127|11.61909
27|-58.136268|91.539501|238.911161|13.905553|-7.318809|1.587513|11.716622
28|-65.433594|93.093189|250.716067|13.964982|-7.297326|1.553688|11.804906
29|-72.709998|94.617109|262.601144|14.018681|-7.276404|1.523921|11.885076
